time (UTC),latitude (degrees_north),BEUTI (mmol m-1 s-1)
2008-07-15T00:00:00Z,36.0,9.536
2008-07-15T00:00:00Z,37.0,5.253
2008-07-15T00:00:00Z,38.0,6.544
2008-07-15T00:00:00Z,39.0,13.561
2008-07-15T00:00:00Z,40.0,13.211
2008-07-15T00:00:00Z,41.0,13.607
2008-07-15T00:00:00Z,42.0,15.962
2008-07-15T00:00:00Z,43.0,14.064
2008-07-15T00:00:00Z,44.0,7.738
2008-07-15T00:00:00Z,45.0,5.031
2008-07-15T00:00:00Z,46.0,2.241
2008-07-15T00:00:00Z,47.0,4.367
2008-08-15T00:00:00Z,31.0,0.403
2008-08-15T00:00:00Z,32.0,0.096
2008-08-15T00:00:00Z,33.0,0.01
2008-08-15T00:00:00Z,34.0,0.119
2008-08-15T00:00:00Z,35.0,1.23
2008-08-15T00:00:00Z,36.0,2.605
2008-08-15T00:00:00Z,37.0,4.026
2008-08-15T00:00:00Z,38.0,7.392
2008-08-15T00:00:00Z,39.0,15.841
2008-08-15T00:00:00Z,40.0,14.167
2008-08-15T00:00:00Z,41.0,8.835
2008-08-15T00:00:00Z,42.0,6.901
2008-08-15T00:00:00Z,43.0,2.752
2008-08-15T00:00:00Z,44.0,0.723
2008-08-15T00:00:00Z,45.0,0.815
2008-08-15T00:00:00Z,46.0,0.135
2008-08-15T00:00:00Z,47.0,0.114
2008-09-15T00:00:00Z,31.0,0.577
2008-09-15T00:00:00Z,32.0,0.134
2008-09-15T00:00:00Z,33.0,0.012
2008-09-15T00:00:00Z,34.0,0.089
2008-09-15T00:00:00Z,35.0,0.355
2008-09-15T00:00:00Z,36.0,0.371
2008-09-15T00:00:00Z,37.0,0.403
2008-09-15T00:00:00Z,38.0,0.956
2008-09-15T00:00:00Z,39.0,4.644
2008-09-15T00:00:00Z,40.0,10.513
2008-09-15T00:00:00Z,41.0,14.672
2008-09-15T00:00:00Z,42.0,14.96
2008-09-15T00:00:00Z,43.0,6.93
2008-09-15T00:00:00Z,44.0,2.266
2008-09-15T00:00:00Z,45.0,2.087
2008-09-15T00:00:00Z,46.0,0.708
2008-09-15T00:00:00Z,47.0,0.215
2008-10-15T00:00:00Z,31.0,0.293
2008-10-15T00:00:00Z,32.0,0.141
2008-10-15T00:00:00Z,33.0,0.023
2008-10-15T00:00:00Z,34.0,0.306
2008-10-15T00:00:00Z,35.0,1.036
